,finnish,russian
146,Ystävänäsi kehottaisin sinua kertomaan muille.,Ломбард Джейка продал самурайский меч кому-то два часа назад.
147,"Kiitos, Lanie.",Столетиями мои люди скакали через эти земли.
148,Ja muuten...,"Может, и не хана ей ещё."
149,Jatkakaa.,Ты наркоманка?
150,- Voitko lunastaa lupauksesi?,- Сегодня вечером?
151,"Jos tiedät, kerro minulle heti.","Ох, да... правильно."
152,Minä pidän sinusta. -Minäkin pidän sinusta.,"Убить всех людей, носящих на себе железо, и разрушить их каменные дома."
153,En tiedä kuinka kauan jaksan tätä.,"Я могу поговорить с ним, выяснить, что он знает?"
154,"Saniaiset ja ananaskasvit koristivat kallioseinämiä, joiden keskellä lepäsi kristallinkirkas vesiallas.",Поднимитесь.
155,Näitä neuvoja pystyvät noudattamaan ja noudattavatkin aivan tavalliset nykyajan ihmiset.,"Авраам не поручил всю работу слугам, но смиренно взялся за нее сам."
156,-Olemme lopettaneet.,"Вот что: останься дома и поухаживай за ним - суп, массаж ног,"
157,Viktor tiesi sinun olevan liian nuori muistamaan sitä tarkasti.,- Но ты все же подумай об этом.
158,Ei ole vai?,- Нет.
159,Entäpä jos valitsisit hyväkuntoisen käytetyn auton?,"Он шустрее, 2 лишних сидения, не весит как собор. А еще не ест собственную обувь. Нет, правда, это лучший в мире аппарат."
160,Herää.,- Откуда вам известно?
161,Millä tavalla?,На твоем месте я не шутила бы так с Джонни Логаном.
162,Niin minäkin luulin pitkän aikaa.,Что?
163,Pitäisi varmaan soittaa Christofille.,"Я думал, ты решишь эту проблему. Не получилось."
164,"Jos minä laulaisin totuuteni, fanit suuttuisivat.",Ее зовут Дженна.
165,Millaista tarvitset?,Что мы будем делать?
166,"Esimerkiksi Venäjän tsaarin mielestä rauhan säilyttämiseksi oli tehtävä kaikki mahdollinen, eikä hän halunnut joutua vastuuseen suunnattomasta verenvuodatuksesta.","Я имею в виду, я возвращаюсь."
167,Meillä oli kauneudenhoitopäivä.,"- Кейла Джефферсон, 19 лет."
168,- Minä lähden.,Стихи и рассказы.
169,- Sinäkö toimitat koululehteä?,"- Простите, я могу передать ему ваше сообщение."
170,Haluatko hänet syliisi?,Так. Хорошо.
171,-Kuka irrottautui sinusta?,"Она сбежала с моим бывшим подельником, неким Реджинальдом Т. Барнсом."
172,Ja nämä helvetin autot.,"Это будет непросто, доктор."
173,"Äitisi on jutun kimpussa, joten minulla ei ole syytä panikoida.","это при том, что мама умерла всего 8 месяцев назад."
174,Bretillä ei ollut ideoita.,Дэкстер.
175,Seuraava,Разил наших врагов?
176,- Syke palasi tasaiseksi. - Sytytä takka.,"Да меня не ебёт, если он считает себя прыщом на жопе Прайса."
177,Olen todella kiitollinen kaikesta avustasi.,Что бы ты сделал?
178,En tunne hänen vaimoaan.,"Ей нужно выйти замуж до понедельника, когда приезжают ее родители."
179,Älä tee sitä itsesi vuoksi.,- Спасибо.
180,- Niinkö?,Ну ты же всего на пару дюймов подсунул.
181,Osoita jatkuvasti rakkautta heitä kohtaan,"Джейн, нам нужно ехать на задание."
182,Mitä vain.,Подпишете для меня?
183,- Ei olisi pitänyt odottaa liikoja.,"Может, все-таки притормозите..."
184,"Saanko gramman lisää, jotta selviän tästä viikosta?","Благодарю, сэр."
185,Siinä on virheesi.,"*Я не знаю что,* *но это будет великолепно!"
186,"Pikakelasit elämäsi läpi jo ennen kuin edes tapasit minut, - elit elämäsi, jonka valitsit.",Свыше двух метров в год.
187,"Beckett, löysimme jotain.",У меня пляжный домик в десяти минутах отсюда.
188,Jaken panttilainaamo myi kaksi tuntia sitten samurai-miekan.,Служители Иеговы с готовностью проявляют любовь к ближним (Смотрите абзац 5.)
189,Kansani on vaeltanut täällä vuosisatojen ajan.,- Куда мне девать руки?
190,Ei kai se nyt mennyt.,"Ладно, остановитесь, прошу вас!"
191,Oletko narkkari?,- Снимают номер. - Да.
192,- Tänä iltana?,"Но нет человека счастливей, чем тот, кто сажу отмоет и гарь ототрёт."
193,Aivan. Aivan niin.," мен€ нет слов, капитан.
Сиэттл, в начале сентября.
Но ваша ужасающая погода просто невозможна.
Во что бы то ни стало.
Поэтому я пришёл сообщить хорошую новость.
Сюда.
- Загадка. Да.
Хочешь поговорить об этом?
Вы все знаете, как я горжусь своим титулом мистер Позитив""."
194,Hän lupasi tappaa rautaan pukeutuneet miehet ja repiä kiviset talot alas.,"Знаешь, можно сделать звукоизоляцию."
195,"Ehkä voin jutella hänelle. Ottaa selvää, mitä hän tietää.","- ""Четыреста сорок второй""."
196,Nouskaa ylös nyt heti.,А это винтовка? Разобранный МК-4.
197,Hän ei delegoinut töitä palvelijoilleen vaan huolehti nöyrästi itse noista yksinkertaisista tehtävistä.,"Во-первых, это наделало бы шума."
198,"Okei, entä tämä? Jäät kotiin ja hoidat häntä:",На сколько ты можешь остаться?
199,Mutta ajattelepa sitä hetki.,Я не вижу.
200,-Hänet pitää löytää.,Фибрилляция желудочков! Пульса нет! У неё остановка.
201,"Supersports on vaikuttava auto, mutta en pidä siitä.","Очевидно, у меча не было перекрестия, « так что вошла за острием и рукоять, и тук закрыл острие... [« и вышло испражнение », « Танах », Д."
202,- Mistä tiedät sen?,Мальчики.
203,Mutta sinuna en pelleilisi Johnny Loganin kanssa.,"Только потому, что это друг мистера Бингли, только поэтому."
204,- Mitä? !,Я приду.
205,- Luulin että hoidat tämän asian.,"Боже, Саша, я велел пригнуться"
206,Jennalta.,Жаль? Ты начинаешь говорить как папа.
207,- Mitä teemme sille?,Произошло расплавление 6-ой стадии внутри сердечника гидроустановки.
208,Tulen takaisin.,- Бездомные. - Незаменимы.
209,College-opiskelija.,"Того, кто подстрелил вашего мужа."
210,Runoja ja lyhyitä tarinoita.,"Не переживайте, долго ждать вам не придётся."
211,- Olen pahoillani. Voin jättää hänelle viestin.,Это займет буквально минут пять.
212,Minä mottaan sinua päin pläsiä!,"Это была катастрофа, и эта война длилась шесть дней."
213,Hän lähti ex-apurini Reginald T. Barnesin matkaan.,- Ножом? !
214,Siitä ei tule helppoa.,Это все равно был наш секрет.
215,Äiti kuoli 8 kuukautta sitten.,"У вас будто есть невидимая связь И неважно, насколько вы далеко друг от друга вы всегда можете чувствовать друг друга."
216,Dexter.,"Из - за этого многие из них, особенно те, кто живет в маленьких провинциальных городах, претерпевают трудности."
217,Tappanut vihollisiamme?,Тебя я ценю очень высоко.
218,En välitä jos hän luulee olevansa näppylä Pricen perseessä.,Но можешь подбросить меня до дома Мэгги. Будет нормально.
219,Mitä sinä tekisit?,"Мои бабушки, дедушки и другие родственники — все были против Свидетелей Иеговы, и некоторые из них состояли в нацистской партии — взяли нас с сестрой под свою опеку."
220,"Hänen on mentävä naimisiin, ennen kuin vanhemmat tulevat.","Да, у меня тоже."
221,Kiitos.,то здесь.
222,"Ei, kun se tulee noin alhaalta. Anteeksi, en mahda sille mitään.",У нас нет никаких шансов.
223,"Jane, meillä on asia hoidettavana.",Температура на рассвете может опускаться значительно ниже ноля.
224,Laitatko tähän omistuskirjoituksen?,"Я Бо, сучки."
225,Voisitko hidastaa vähän?,"Он, совсем не смотрит телевизор."
226,-Kiitos.,"Так, что ты здесь делаешь?"
227,"En tiedä, mitä se on mutta jotakin suurta","Знаешь, что тут самое вкусное?"
228,Sadetta kertyy keskimäärin yli kaksi metriä vuodessa.,"Пока мы не можем его отследить, я советую закрыть Променад."
229,Rantataloni on lähellä.,"- Да, ещё я знаю, что двое мертвы."
230,( Ks. kpl 5.),- Наверно замок заело.
231,- Miten laskettelen?,Ничего себе. Что Вы знаете?
232,Pysähdy. Pysähdy!,Что за чушь
233,- Niissä mennään hotelliin.,Выберите фильтруемый столбец
234,Vaikk piipusta nokisen peitteen mä saan Niin hauskempaa työtä en saa milloinkaan,"Жилет смертника, требования... он провел с этими людьми достаточно времени, чтобы их заразить, а они бы распространили вирус."
235,"Ei ole mitään sanoja, kapteeni.",Теперь Камелот - это твой дом.
236,Kyllä.,Посмотри еще!
237,- Täällä on surkea sää.,"... Ну вот, так-то лучше."
238,Miten vain voimme.,"Погоди, что?"
239,Saan kertoa hyvät uutiset.,– Что бывает редко.
240,Tännepäin.,"У нас за спиной то, что я думаю?"
241,- Mikä on suunnitelmasi?,Ладно...
242,Haluatko puhua siitä?,"Итак, следующий этап в том, чтобы узнать, что же это такое."
243,"Tiedätte, että olen ylpeä herra Positiivisen tittelistäni.","Заметь, ты сам это сказал."
244,Voisimme äänieristää seinät.,У тебя есть запонка?
245,- Mitä? 442.,Они только и будут ждать возможности забрать наше оружие. Хочешь снова спать в полглаза?
246,- Onko tuo kivääri?,И я могу это доказать.
247,Siitä tulisi sotkua.,"Именно об этом я и говорил, да."
248,Kuinka pitkäksi aikaa voit jäädä?,"Спасибо, но я откажусь."
249,- En tiedä.,Уничтожить!
250,"Kammiovärinää, ei pulssia.","Говорил с каждой ведьмой, с каждым шаманом, с каждым медиумом в 20 странах по всему миру, каждая зацепка приводила в никуда."
251,"Miekassa ei ilmeisesti ollut kädensuojusta, ja niinpä ” kahvakin meni sisään terän mukana, niin että ihra peitti terän kokonaan, – – ja suolensisällystä alkoi tulla ulos ” joko haavasta tai ulosteena Eglonin suolistosta. Helppo pako",Спасибо вам от всего сердца!
252,"Olkaa hyvät, pojat.",Нашу стратегию следует изменить.
253,"Olen kuitenkin kohtelias, koska hän on Bingleyn ystävä",В небольшом числе ответов.
254,Tulen.,Хорошо?
255,Käskin mennä maihin.,Я потерял все.
256,"Luoja, kuulostat aivan isältä.","Огонь, огонь."
257,Se oli kuudennen asteen sulaminen Hydrotornin ytimessä.,- Я могу его попросить.
258,- Kodittomien verkosto on välttämätön.,"Миссис Людвиг, это показания вашего соседа, согласно которым он слышал, как вы уезжали тем вечером, сразу после 10:00, и согласно его показаниям, вы не возвращались почти до полуночи."
259,"Ja henkilön, joka ampui miestänne.",Я в порядке. Ну хорошо...
260,Se tapahtuu tuota pikaa.,"Некоторые родители переживают, что заденут чувства ребенка, поэтому никогда его не наказывают."
261,Matka kestää noin viisi minuuttia.,Почему это?
262,-Jumala loi maailman viikossa.,"Но если я болен, и они узнают, что я не могу, то они меня убьют. Я этого не позволю."
263,–Veitselläkö?,Вы мне тоже соврали?
264,Se tuntui silti kuin salaisuudelta.,"Суть в том, что его мозг мёртв и он не можешь защитить себя."
265,"On kuin näkymätön side yhdistäisi, ja välimatkasta riippumatta - toisen läsnäolon tuntee aina.",Поэтому он отошел от дельфина.
266,Erityisen haastavaa se on pienissä maaseutukaupungeissa.,"Акеми успокоилась только тогда, когда я показала ей имя Иеговы в своей старой Библии, изданной на архаичном японском языке."
267,-Sinä olet minulle pyhä.,"Ох уж мне этот Мистер Важная Шишка с ""Красным Лобстером""."
268,Mutta voit jättää minut Maggien luo.,Мне нужны эти деньги.
269,Isovanhempani ja toiset sukulaisemme – jotka kaikki vastustivat Jehovan todistajia ja joista jotkut kuuluivat natsipuolueeseen – saivat pikkusiskoni ja minut huoltoonsa.,"- ѕослушай, а?"
270,Niin minullakin.,"Соломон, звоните 911."
271,Noin.,"- Я не знаю, что еще мы можем сделать."
272,Emme voi ottaa riskejä.,Мать твою!
273,Aamun koittaessa lämpötila voi olla pakkasen puolella.,Могло?
274,"Olen Bo, ääliöt.",Хороший улов.
275,Hitto. Tämä kaveri pelaa täysin kirjan mukaan.,"Этот цвет сочетается с цветом моих глаз? Что относительно этого, девочки?"
276,"Kerro, miksi olet täällä.",Вот здесь.
277,"Tiedättekö, mikä täällä on hyvää?",Мне здесь нравится.
278,"Siihen asti kunnes pystymme, ehdotan, että suljemme promenadin.","Ты врал, что не спал с ней."
279,Tiedän kahden ihmisen kuolleen.,"Венера, твоя очередь."
280,- Se on varmaan jumissa.,Алло.
281,Kappas vain.,Я закончил.
282,Miten niin erilailla?,"Скажем, в следующую пятницу в шесть, идёт?"
283,Valitse suodatettava sarake tässä,"В смысле, я бы стал задавать кучу вопросов о том, что здесь находится."
284,"Itsemurhaliivi ja vaatimukset? Hän halusi altistaa ihmisiä tarpeeksi pitkään, jotta virus leviäisi.",Я поговорил с вашим социальным работником.
285,Sinä olet tulevaisuus.,"Я покажу ему, как мы его записывали."
286,Katso uudestaan!,Авраам Фиркович
287,Noin sitä pitää! Eikö tunnukin paremmalta?,Я не знаю как быть. Так засунь их себе в задницу.
288,Mitä? - Tunnetko hänet?,"Только не говори, что тебе есть дело до этих жалких созданий!"
289,-Mikä on harvinaista...,Изо рта воняет.
290,Onko tuo takanamme se mikä luulen?,- Возможно. Разве мисс Риггс не просила вас договориться об уроках дайвинга с мистером Касорлой
291,- Kaikki kunnossa.,"У вас есть доказательства, что я купил акции?"
292,"Seuraavaksi haluaa tietää, mikä se on.","Когда брат Адриан забрал зеркало Алисы, я отследила номер его счёта."
293,"Sinä sanoit sen, en minä.",Вы никогда не преуспеете!
294,Tuleeko se huutokauppaan?,Привет.
295,Saat taas nukkua toinen silmä auki.,"Пример для нас, Иисус ревностно исполнял полученное от Бога задание, согласно которому « дал Себя за нас, чтобы избавить нас от всякого беззакония и очистить Себе народ особенный, ревностный к добрым делам ». 48 студентов 101 - го класса Библейской школы Сторожевой Башни Галаад, бесспорно, показали себя ревностными к добрым делам."
296,Todistan sen menemällä kadulle.,"Слушай, я знаю, что ты расстроена, знаю, что хочешь нам помочь и готова сотрудничать."
297,Tuollaista juhlaa tarkoitin.,"Я слышал, у твоей жены вернисаж в галерее. Я хотел спросить..."
298,Mitä nyt?,Они с Джонни едут домой. - Когда?
299,- Tuhotaan!,Специальный агент Энтони ДиНоззо.
300,"Puhuin jokaiselle noidalle, shamaanille ja meediolle 20:ssä maassa ympäri maailmaa. - Jokainen vihje oli umpikuja.",Очень волнующие.
