,english,finnish
162,Tom assumed that Mary was talking nonsense simply because he didn't understand her.,"Tom oletti Marin höpöttävän puuta heinää, koska mies ei ymmärtänyt sanaakaan."
163,Emily is writing a letter.,Emily kirjoittaa kirjeen.
164,Tom is an amateur.,Tom on amatööri.
165,I'm making tea.,Minä teen teetä.
166,Tom's callsign is Maverick.,Tomin kutsutunnus on Maverick.
167,She is careless about the way she dresses.,Hän on huolimaton pukeutumistavastaan.
168,Is today Friday?,Onko tänään perjantai?
169,I was late because of the traffic.,Olin myöhässä liikenteen takia.
170,Absolutely!,Ehdottomasti!
171,Does Tom have one?,Onko Tomilla sellaista?
172,I got lucky.,Olin onnekas.
173,Do you like music?,Pidätkö sinä musiikista?
174,I wrote Mary a letter.,Kirjoitin Marylle kirjeen.
175,You're a very good guitarist.,Olet todella hyvä kitaristi.
176,I didn't read it.,Mä en lukenu sitä.
177,The leaves of the tree turned yellow.,Puun lehdet kellastuivat.
178,He never tells lies.,Hän ei valehtele milloinkaan.
179,I've got no secrets from Tom.,Minulla ei ole mitään salattavaa Tomilta.
180,Granny went to pick some blueberries.,Mummo meni mustikkaan.
181,Don't underestimate my power.,Älä aliarvioi voimaani.
182,I didn't see it.,En nähnyt sitä.
183,Get to work.,Alapa hommiin.
184,What time does school begin?,Monelta koulu alkaa?
185,I thought I could trust Tom.,"Luulin, että voisin luottaa Tomiin."
186,Tom is a bodybuilder.,Tomi on bodaaja.
187,Tom yelled at Mary in French.,Tom huusi Marille ranskaksi.
188,There is a lot at stake.,Siinä on pelissä paljon.
189,My house is haunted.,Minun kodissani kummittelee.
190,Are you just being optimistic or do you really think we're going to win?,"Oletko vain optimisti vai luuletko tosiaan, että voitamme?"
191,Tom can't do that.,Tom ei voi tehdä sitä.
192,I'm single.,Olen sinkku.
193,Tom understands French.,Tom ymmärtää ranskaa.
194,"He has been to Portugal, not to mention Spain.",Hän ei ole ollut vain Portugalissa vaan myös Espanjassa.
195,Stay hydrated!,Juokaa tarpeeksi!
196,It is no use complaining.,Valittaminen on hyödytöntä.
197,How much is the entrance fee?,Kuinka paljon pääsylippu maksaa?
198,I love you!,Rakastan sinua!
199,You are no longer a child.,Sinä et ole enää lapsi.
200,Die!,Kuole!
201,Be prepared!,Ole valmiina!
202,I have no idea whether Tom will come or not.,Minulla ei ole mitään käsitystä siitä tuleeko Tom vai ei.
203,Anyone can make mistakes.,Kaikki tekevät virheitä.
204,I want another beer.,Haluan toisen oluen.
205,Tom talked a lot.,Tom puhui paljon.
206,Could you speak more slowly?,Voisitteko puhua hitaammin?
207,She has been in Japan for three years.,Hän on ollut Japanissa kolmen vuoden ajan.
208,What are you called?,Mikä sinun nimesi on?
209,Can you stop calling me that?,Voitko lopettaa minun kutsumiseni tuolla nimellä?
210,Tom got home.,Tom pääsi kotiin.
211,I'm still waiting to be told what happened.,"Silti odotan, että minulle kerrotaan mitä tapahtui."
212,What a big cake!,Onpa iso kakku!
213,Tom looked over his shoulder to see if Mary was still following him.,Tom katsoi olkansa yli nähdäkseen seurasiko Mari häntä vielä.
214,I began to cry.,Purskahdin itkemään.
215,Tom knows that I lied to him.,"Tom tietää, että valehtelin hänelle."
216,Tom wanted to meet you.,Tom halusi tavata sinut.
217,We stayed inside.,Me pysyimme sisällä.
218,It's really great to work here.,Tässä on upeaa tehdä töitä.
219,Tom even looked behind the door.,Tom jopa katsoi oven taakse.
220,"Several hundred years ago, scarlet fever epidemics killed thousands of people throughout the continent.",Useita satoja vuosia sitten tulirokkoepidemiat tappoivat tuhansia ihmisiä ympäri mannerta.
221,Could I have money for my piano lesson?,Voisinko saada rahaa pianotuntiani varten?
222,"It's just a scratch, OK?","Se on pelkkä naarmu, OK?"
223,I destroyed everything.,Minä tuhosin kaiken.
224,I'll wait here till he comes back.,"Minä odotan tässä, kunnes hän tulee takaisin."
225,Why are you scared?,Miksi teitä pelottaa?
226,I'm cooking.,Olen laittamassa ruokaa.
227,Tom stopped.,Tomi lopetti.
228,I wonder what I'll do once I get home.,Mitäköhän teen kun pääsen kotiin?
229,Mind your own business.,Pidä sinä huolta omista asioistasi.
230,A chance like this only comes along once in a blue moon.,Tällainen mahdollisuus tulee vain kerran vuosisadassa.
231,Who's Tom talking to?,Kenen kanssa Tomi juttelee?
232,Happy International Women's Day!,Hyvää kansainvälistä naistenpäivää!
233,You could hear the desperation in Mary's voice.,Marin äänestä pystyi kuulemaan epätoivon.
234,Defend yourself!,Puolusta itseäsi!
235,I've got a lot on my mind.,Minulla on paljon asioita mielessäni.
236,Tom's girlfriend is Canadian.,Tomin tyttöystävä on kanadalainen.
237,You never know for sure.,Ei voi ikinä tietää varmasti.
238,A funny thing happened to me on the way here today.,Hassu asia tapahtui minulle tänään matkalla tänne.
239,The night is still young.,Ilta on vielä nuori.
240,It's a small town. Everyone knows everyone.,Tämä on pieni kaupunki. Jokainen tuntee jokaisen.
241,Do you think it's just a coincidence?,"Oletko sitä mieltä, että se oli vain sattumaa?"
242,The doctor advised my father to give up smoking.,Lääkäri neuvoi isääni lopettamaan tupakoinnin.
243,I like it out here.,Pidän tästä.
244,You're the teacher.,Sinä se opettaja olet.
245,The air conditioner has got out of order.,Ilmastointi on mennyt rikki.
246,How much do you need?,Kuinka paljon sinä tarvitset?
247,Tom cleaned the toilet.,Tom puhdisti vessan.
248,How beautiful you are!,Oletpa sinä kaunis!
249,Global climate change is one of the greatest threats facing humanity.,Maailmanlaajuinen ilmastonmuutos on ihmiskunnan suurimpia haasteita.
250,I bought a clock for Tom.,Ostin kellon Tomille.
251,Never deal with a dragon and never trust an elf!,Älä käy koskaan kauppaa lohikäärmeen kanssa älä luota haltiaan!
252,Go inside.,Mene sisään.
253,Tom is in shock.,Tomi on shokissa.
254,"The student answered, ""The square root of 256 is sixteen.""",Oppilas vastasi: »256:n neliöjuuri on kuusitoista.»
255,I like spring.,Pidän keväästä.
256,Call me when you are ready to go.,"Soita minulle, kun olet valmiina lähtemään."
257,Everybody laughed at Tom.,Kaikki nauroivat Tomille.
258,Tom's house has a big backyard with a large oak tree.,"Tomin taloon kuuluu suuri takapiha, jossa seisoo kookas tammi."
259,We made this.,Me valmistimme tämän.
260,Tom keeps secrets.,Tomilla on salaisuuksia.
261,I assure you I'll do everything possible to help you.,"Vakuutan sinulle, että teen kaiken mahdollisen auttaakseni sinua."
262,I haven't been to Boston since Tom died.,En ole käynyt Bostonissa sen jälkeen kuin Tom kuoli.
263,"Have you ever seen a man-eating tiger? No, but I have seen a man eating chicken.","Oletko nähnyt ihmissyöjätiikeriä? En, mutta olen nähnyt ihmisen syövän kanaa."
264,Who are those three men?,Keitä nuo kolme miestä ovat?
265,That dress looks good on you.,Se mekko sopii hyvin sinulle.
266,Please speak French.,"Pyydän, että puhut ranskaa."
267,"Apart from a small portion of people, everyone uses the internet more than once a week.",Pientä osaa lukuun ottamatta kaikki käyttävät internetiä useammin kuin kerran viikossa.
268,"When you come to France, we will go to Marseille.","Nyt kun tulet Ranskaan, me menemme Marseillesiin."
269,Mary burst into tears and left the room.,Mari purskahti itkuun ja lähti huoneesta.
270,Two weeks of heavy rain resulted in flooding.,Kahden viikon rankkasade aiheutti tulvan.
271,I'm flying to Boston tomorrow.,Lennän Bostoniin huomenna.
272,Tom and Mary got into their car.,Tom ja Mari menivät sisään autoonsa.
273,The food was nearly inedible.,Ruoka oli lähes syömäkelvotonta.
274,Tom has been on Lipitor for three years.,Tomilla on ollut kolesterolilääkitys viimeiset kolme vuotta.
275,The test was easy.,Koe oli helppo.
276,I called her Cathy.,Minä käytin hänestä nimeä Katariina.
277,After a battle casualties are usually heavy.,Taistelun jälkeen tappiot ovat yleensä raskaat.
278,I'd love to have dinner with you.,Minusta olisi ihanaa käydä illallisella kanssasi.
279,"Give me a glass of water, please.",Antaisitko minulle lasillisen vettä?
280,"If you don't want to sing, you don't have to.","Jos et halua laulaa, sinun ei tarvitse."
281,That was wicked of her.,Se oli ilkeää häneltä.
282,You're such a pig.,Sä oot niin possu.
283,Let's put up the Christmas tree here.,Laitetaan joulukuusi tähän.
284,Someone will save you.,Joku pelastaa sinut.
285,Tom doesn't know anybody here.,Tomi ei tunne ketään täällä.
286,I won't try to persuade Tom.,En yritä taivutella Tomia.
287,Life in prison is worse than the life of an animal.,Elämä vankilassa on pahempaa kuin eläimen elämä.
288,I didn't think you'd come back.,"Luulin, että et tulisi takaisin."
289,"We have a very good team, so we have every reason to be optimistic.","Meillä on erittäin hyvä joukkue, joten meillä kaikki syyt olla optimistisia."
290,Tom was like a dad to me.,Tom oli kuin isä minulle.
291,I talked to friends.,Puhuin ystävilleni.
292,I've been friends with Tom for many years.,Tom on minun ystäväni monen vuoden takaa.
293,You need me more than I need you.,Tarvitset minua enemmän kuin minä sinua.
294,You should get some sleep.,Sinun pitäisi nukkua vähän.
295,Stay a moment.,Jääkää hetkeksi.
296,Tom looked uncomfortable.,Tomi näytti vaivaantuneelta.
297,This sentence has seven words in it.,Tässä lauseessa on viisi sanaa.
298,I don't believe Atlantis ever existed.,"En usko, että Atlantista on ollut koskaan olemassa."
299,Tom told me some strange things.,Tomi kertoi minulle outoja juttuja.
300,I had lost a camera the previous day.,Hävitin sitä edeltävänä päivänä kamerani.
301,Mary drives faster than Tom.,Mary ajaa lujempaa kuin Tom.
302,Let's hope you're right.,"Toivokaamme, että sinä olet oikeassa."
303,Where's your whistle?,Missä on pillisi?
304,"You know you're very pretty, don't you?",Sinähän tiedät että olet tosi nätti.
305,I'll be OK.,Olen kunnossa.
306,I was expecting Tom.,Odotin Tomia.
307,What brought you to Korea?,Millä asioilla tulit Koreaan?
308,I hope that's a joke.,"Toivon, että tuo on vitsi."
309,Are you seriously thinking about going?,Ajatteletteko te tosissanne lähtemistä?
310,He was disqualified after a false start.,Hänet diskattiin varaslähdön jälkeen.
311,I told a bedtime story to my daughter.,Kerroin iltasadun tyttärelleni.
312,That's simply not possible.,Se ei nyt vain ole mahdollista.
313,"He loves cars, while his brother hates them.",Hän rakastaa autoja kun taas hänen veljensä vihaa niitä.
314,She could not hold back her tears.,Hän ei voinut muuta kuin itkeä.
315,Are you American?,Oletko sinä amerikkalainen?
316,Do you think fish can hear?,"Luuletko, että kalat voivat kuulla?"
317,Tom apparently can't speak French.,Tom ei näemmä osaa puhua ranskaa.
318,He must be very tired after a long walk.,Hänen täytyy olla hyvin väsynyt pitkästä kävelystä.
319,What Tom told you was a lie.,"Se mitä Tom kertoi teille, oli vale."
320,Did Tom try?,Yrittikö Tom?
321,We didn't recognize each other.,Me ei tunnistettu toisiamme.
322,"She read the letter, and so she came to learn that he was dead.","Hän luki kirjeen ja sai siten tietää, että hän oli kuollut."
323,Get out! I don't want to talk to you anymore!,Ulos täältä! En halua enää puhua sinun kanssasi!
324,We didn't see any signs.,Me emme nähneet mitään merkkejä.
325,Tom walked out of the movie.,Tom käveli ulos elokuvista.
326,I'm safe here.,Minä olen turvassa täällä.
327,Everybody wants permanent peace.,Kaikki haluavat pysyvän rauhan.
328,I just want to hold her hand.,Haluan vain pidellä hänen kättään.
329,We exhausted our funds.,Käytimme varamme loppuun.
330,I was nearly run over by a car.,Jäin melkein auton alle.
331,You're welcome!,Ei kestä!
332,"As a young man, I worked in Chicago communities where many found dignity and peace in their Muslim faith.","Nuorena miehenä työskentelin Chicagon yhteisöissä, missä moni löysi arvokkuutta ja rauhaa islaminuskostaan."
333,I love Korean food.,Pidän kovasti korealaisesta ruoasta.
334,The gods help them that help themselves.,"Jumalat auttavat heitä, jotka auttavat itseään."
335,May I put it here?,Saanko laittaa sen tänne?
336,How could I refuse?,Kuinka voisinkaan kieltäytyä?
337,Tom went to the gym.,Tom meni punttikselle.
338,I fought an enemy at the side of a drunk guy.,Tappelin vihollista vastaan juopuneen kaverin rinnalla.
339,You're so kind.,Sinä olet niin ystävällinen.
340,Tom is badly wounded.,Tom on pahoin haavoittunut.
341,Tom dares not tell Mrs. White the truth.,Tom ei uskalla kertoa rouva Whitelle totuutta.
342,Tom used to go to parties.,Tomi kävi ennen juhlissa.
343,Tom and Mary are the traitors.,Petturit ovat Tomi ja Mari.
344,She put her head on my shoulder.,Hän laski päänsä olalleni.
345,We were both a little drunk.,Me oltiin molemmat vähän kännissä.
346,I know exactly how to do it.,"Tiedän tarkalleen, miten tehdä se."
347,The house was very dusty.,Talo oli hyvin pölyinen.
348,How old were you when you moved to Boston?,Kuinka vanha olit kun muutit Bostoniin?
349,Sport transcends borders.,Urheilu ylittää rajoja.
350,Tom corrected it.,Tom korjasi sen.
351,"We all know that blue-eyed red-heads are sensitive to sunshine, burning more readily than darkskinned people.","Tiedämme, että sinisilmäiset punapäät ovat herkempiä päivänpaisteelle; he palavat tummaihoisempia helpommin."
352,You'd better get moving.,Sinun on parempi lähteä liikkeelle.
353,"Please, call him.",Soita hänelle.
354,How long will you stay in Boston?,Kuinka kauan sinä aiot olla Bostonissa?
355,The proportion of girls to boys in our class is three to two.,Tyttöjen ja poikien suhde luokallamme on kolmen suhde kahteen.
356,I thought I told you not to come.,"Luulin, että kielsin sinua tulemasta."
357,It changed my life.,Se muutti elämäni.
358,Tom doesn't know the difference between a star and a planet.,Tom ei tiedä eroa kiintotähden ja kiertotähden välillä.
359,"You live near here, don't you?","Sinä asut lähistöllä, eikö niin?"
360,What kind of wedding do you want?,Minkälaiset häät haluatte?
361,There is no time to lose.,Aikaa ei ole hukattavaksi.
362,He made sure nobody could see him.,"Hän varmisti, ettei kukaan voinut nähdä häntä."
363,Those children have no one to care for them.,"Noilla lapsilla ei ole ketään, joka huolehtisi heistä."
364,"Can't you give this little maiden something which will make her as strong as twelve men, to overcome the Snow Queen? ""The Power of twelve men!"" said the Finnish woman; ""that would be of very little use.""","Etkö voi antaa tälle pienelle neidolle jotain, joka tekee hänestä kahdentoista miehen vahvuisen, jotta hän voittaisi Lumikuningattaren? ""Kahdentoista miehen voiman!"" sanoi suomalainen nainen; ""siitä olisi hyvin vähän hyötyä."""
365,I'm able to swim.,Minä pystyn uimaan.
366,Tom might be able to translate this into French.,Tom saattaa pystyä kääntämään tämän ranskaksi.
367,I gave up.,Annoin periksi.
368,We think it was Tom.,"Me luulemme, että se oli Tom."
369,You're pathetic.,Olet säälittävä.
370,Clip your nails.,Leikkaa kyntesi.
371,We could not bear to listen to the sick child's pathetic cries.,Emme kestäneet kuulla sairaiden lasten surkeaa itkua.
372,I'm sorry for being late.,Anteeksi että olen myöhässä.
373,Even if we don't get lucky on the first try we can just keep fucking till I get pregnant.,"Vaikka meitä ei onnistaisikaan ensimmäisellä yrityksellä, voimme vaan jatkaa naimista kunnes tulen raskaaksi."
374,This beer contains 5% alcohol.,Tässä oluessa on alkoholia 5 %.
375,You should follow Tom's example.,Seuraa Tomin esimerkkiä.
376,I lost my passport!,Hukkasin passini!
377,Why was she laughing?,Miksi hän nauroi?
378,We didn't recognize each other.,Emme tunnistaneet toisiamme.
379,Are you going to help Tom?,Aiotko auttaa Tomia?
380,"You don't think I'm right, do you?","Et taida uskoa että minä olen oikeassa, vai uskotko?"
381,I am busy now.,Minulla on nyt kiire.
382,I'm grateful for that.,Olen kiitollinen siitä.
383,Sugar dissolves in water.,Sokeri liukenee veteen.
384,I am very busy.,Minulla on tosi kiire.
385,He talks as if he were rich.,Hän puhuu ikään kuin olisi rikas.
386,The dog must be hungry.,Koira on varmasti nälkäinen.
387,Take a look at that woman!,Katsopa tuota naista!
388,I'm way too tired.,Olen aivan liian väsynyt.
389,Chris defeated the vampire knight!,Chris löi vampyyriritarin!
390,She should be there now because she left an hour ago.,"Hänen pitäisi jo olla siellä, koska hän lähti tunti sitten."
391,French is an interesting language.,Ranska on mielenkiintoinen kieli.
392,Is it true that you weren't here yesterday?,"Onko totta, että te ette olleet tässä eilen?"
393,Stay out of here.,Pysy poissa täältä.
394,You are old.,Olet vanha.
