,english,russian
115,Distilled water has no taste.,Дистиллированная вода безвкусная.
116,Father is in the garden now.,Отец сейчас в саду.
117,Harry works part-time at the local supermarket.,Гарри работает неполный рабочий день в местном супермаркете.
118,I'm very unlikely to be late.,"Очень маловероятно, что я опоздаю."
119,I told them to wear hats.,Я велел им быть в шляпах.
120,Tom said he was all worn out.,"Том сказал, что он совсем измучен."
121,I used to dream about being a millionaire.,Я когда-то мечтал быть миллионером.
122,I just wanted to say I'm sorry.,"Я просто хотела сказать, что я сожалею."
123,Tom plans to break up with his girlfriend.,Том планирует расстаться со своей девушкой.
124,Where are you going to be tonight?,Где будете сегодня вечером?
125,Tom closed the door of his bedroom.,Том закрыл дверь в свою спальню.
126,I've only known Tom for a few months.,Я знал Тома всего несколько месяцев.
127,You are hopeless!,Вы безнадёжны!
128,Tom plays the violin very well.,Том очень хорошо играет на скрипке.
129,Nobody's blaming you.,Никто вас не обвиняет.
130,Next year is the year of the rabbit.,Следующий год - год Кролика.
131,Tom almost always takes a bath before dinner.,Том почти всегда принимает ванну перед ужином.
132,I can take you home.,Я могу отвезти тебя домой.
133,What did you learn?,Чему ты научился?
134,Please write down what I say.,"Пожалуйста, запишите то, что я скажу."
135,I'm adding the finishing touches now.,Сейчас я добавляю последние штрихи.
136,I can't forget Tom.,Я не могу забыть Тома.
137,I don't have books.,У меня нет книг.
138,The only sport Tom is any good at is tennis.,"Теннис - это единственный вид спорта, которым Том хорошо владеет."
139,Come near the fire.,Подойди к костру.
140,Let me help you.,Позвольте мне помочь вам.
141,"I was very tired, so I fell asleep right away.","Я был очень уставшим, поэтому тотчас заснул."
142,Tom is my favorite singer.,Том - мой любимый певец.
143,Remember that I love you.,"Помни, что я люблю тебя."
144,He is allegedly the murderer.,"Как утверждают, он убийца."
145,Mary didn't want to wear a sexy costume for Halloween so she decided to dress like an Amish woman.,"Мэри не хотела надевать на Хэллоуин откровенный костюм, и поэтому решила одеться как женщина-амиш."
146,Tom raised his hat.,Том приподнял шляпу.
147,Tom waited for three hours.,Том ждал три часа.
148,Mary said she's not thirsty.,"Мэри сказала, что не хочет пить."
149,You knew Tom better than I did.,"Вы знали Тома лучше, чем я."
150,Maybe people like us shouldn't have children.,"Возможно, такие люди, как мы, не должны иметь детей."
151,I won't do it anymore. I promise.,Я больше так не буду. Обещаю.
152,I go shopping every morning.,Каждое утро я хожу за покупками.
153,The baby's kicking.,Ребёнок толкается.
154,Tom refused to sign the document.,Том отказался подписать документ.
155,Tom didn't even slow down.,Том даже не затормозил.
156,I don't want Tom to go anywhere without me.,"Я не хочу, чтобы Том куда-то ездил без меня."
157,I've been watching you study.,"Я наблюдал за тем, как вы занимаетесь."
158,His ability in mathematics is outstanding.,У него выдающиеся способности к математике.
159,Careful! There's a pothole on the road.,Осторожно! На дороге выбоина.
160,He is father to the bride.,Он отец новобрачной.
161,Men were men then.,Мужчины тогда были мужчинами.
162,Swiss banks are very secretive.,Швейцарские банки весьма скрытны.
163,Once you have completed your mission you can drink as much as you like.,"Как только ты завершишь свою миссию, можешь пить сколько вздумается."
164,I'm the only one who can help you.,"Я единственная, кто может вам помочь."
165,I hate winter.,Ненавижу зиму.
166,What do you think Tom will say when he finds out about this?,"Как вы думаете, что скажет Том, когда об этом узнает?"
167,Christmas is coming.,Приближается Рождество.
168,Do you want to do it together?,"Вы хотите, чтобы мы сделали это вместе?"
169,All our attempts were in vain.,Все наши попытки были впустую.
170,He poured himself another glass.,Он налил себе ещё один стакан.
171,"If everyone could pay close attention, please. I will now auscultate the patient. Make sure to note the proper procedure because you all will be practicing this tomorrow.","Пожалуйста, все внимание. Сейчас я приступаю к прослушиванию пациента. Убедитесь, что отследили правильность выполнения этой процедуры - вам предстоит обратиться к её использованию завтра."
172,"The salt, if you please.","Пожалуйста, соль."
173,She has spent all her money.,Она потратила все свои деньги.
174,Tom slept in the barn.,Том спал в амбаре.
175,You're going to ruin your eyes.,Вы себе глаза испортите.
176,Tom was tall for his age.,Том был высокий для своего возраста.
177,Did you notice Mary's earrings?,"Вы заметили, какие у Мэри серёжки?"
178,You're going to be late for school again.,Ты опять в школу опоздаешь.
179,What's your favorite kind of movie to watch?,Какой твой любимый киножанр?
180,Tom didn't have to ask me twice.,Тому не пришлось просить меня дважды.
181,You should visit Boston.,Тебе надо съездить в Бостон.
182,I jumped for joy.,Я подпрыгнул от радости.
183,"She's rich, young and beautiful.","Она богата, молода и красива."
184,Do you love your country?,Вы любите свою страну?
185,I rarely see you and Tom.,Я редко вас с Томом вижу.
186,I'm pretty tall.,Я довольно высокий.
187,"From the practical point of view, there are many shortcomings in his plan.",С практической точки зрения в его плане есть множество недостатков.
188,This is the house I live in.,"Это дом, в котором я живу."
189,I go to school with him.,Я хожу в школу с ним.
190,Your face says that you don't agree.,"По твоему лицу видно, что ты не согласен."
191,Tom didn't kill Mary.,Том не убивал Мэри.
192,I don't know what I mean.,"Я не знаю, что я имею в виду."
193,I got into Harvard.,Я поступила в Гарвард.
194,You sound like a broken record.,Ты как испорченная пластинка.
195,I can't let him go alone.,Я не могу отпустить его одного.
196,Tom is the one who broke the window.,Это Том окно разбил.
197,Jesus by allowing demons to enter a herd of pigs demonstrated the immutability of God's law on unclean animals.,"Исус, позволив бесам войти в стадо свиней, продемонстрировал неизменность Божьего Закона о нечистых животных."
198,I'm the captain.,Я капитан.
199,I think we're going to be OK.,"Я думаю, что у нас всё будет хорошо."
200,We had to come.,Нам надо было прийти.
201,I was wrong about that.,Я ошибалась относительно этого.
202,Today is my birthday.,Сегодня мой день рождения.
203,We have to tell people what they need to do.,"Нам надо сказать людям, что им нужно делать."
204,"If it isn't expensive, I'll buy it.","Если она недорогая, я её куплю."
205,I told Tom what should be done.,"Я сказал Тому, что надо сделать."
206,She came near to drowning.,Она чуть не утонула.
207,That was a good movie.,Хороший был фильм.
208,Did you get wet?,Ты промок?
209,I'm never going to let you forget it.,Я никогда не дам тебе это забыть.
210,Tom didn't let me talk with you.,Том запретил мне с тобой разговаривать.
211,Who were you going to sell it to?,Кому ты собирался её продать?
212,I don't want a divorce.,Я не хочу развода.
213,I grew up in Australia.,Я вырос в Австралии.
214,Tom burst into a rage.,Том дал волю гневу.
215,The boy who had been missing was identified by his clothes.,Пропавший мальчик был опознан по его одежде.
216,I have good reflexes.,У меня хорошие рефлексы.
217,Tell me what it was like.,"Скажи мне, на что это было похоже."
218,"She is likely to refuse to follow his advice, because she doesn't like him.","Она, скорее всего, откажется следовать его совету, потому что он ей не нравится."
219,Have you finished pissing?,Ты пописал?
220,I know you're working for them.,"Я знаю, что ты работаешь на них."
221,I hope I can help you.,"Я надеюсь, что смогу помочь вам."
222,Do your parents know about this?,Ваши родители знают об этом?
223,The waitress put a white tablecloth on the table.,Официантка постелила на стол белую скатерть.
224,"I stayed at home, for it rained that day.","В тот день я остался дома, потому что шёл дождь."
225,Is there a drugstore nearby?,Тут поблизости есть аптека?
226,I've read it.,Я его прочёл.
227,Tell me where I can find it.,"Скажи мне, где я могу её найти."
228,Why is Tom looking at me that way?,Почему Том так на меня смотрит?
229,I called the police and reported that my car had been stolen.,"Я позвонил в полицию и сообщил, что мою машину угнали."
230,We can discuss this later.,Мы можем обсудить это позже.
231,That helps a bit.,Это немного помогает.
232,Cats were sacred animals in ancient Egypt.,Кошки в Древнем Египте были священными животными.
233,May I speak frankly?,Я могу говорить откровенно?
234,I work for an oil company.,Я работаю на нефтяную компанию.
235,Why don't you go find someone else who needs your help?,"Почему бы тебе не найти кого-нибудь другого, кому нужна твоя помощь?"
236,Tom put a wet towel on Mary's forehead.,Том приложил ко лбу Мэри мокрое полотенце.
237,He hurt his left hand.,Он повредил левую руку.
238,Is she Italian?,Она итальянка?
239,We want to leave.,Мы хотим уйти.
240,The population of this city is decreasing every year.,Население этого города уменьшается с каждым годом.
241,Dan didn't want to seem shy.,Дэн не хотел показаться застенчивым.
242,Could you tell me something about yourself?,Вы не могли бы рассказать мне что-нибудь о себе?
243,Did you find the difference between these two photos?,Ты нашёл разницу между этими двумя фотографиями?
244,I've never seen so many books in one place.,"Никогда не видел столько книг, собранных в одном месте."
245,You seem a bit depressed.,Ты выглядишь немного подавленным.
246,Don't forget to call me.,Не забудь позвонить мне.
247,The tongue of a cat feels rough.,У кошек шершавый язык.
248,I would never do that.,Я бы никогда этого не сделал.
249,Please fix it.,"Исправь его, пожалуйста."
250,You should put an ice pack on your ankle to keep the swelling down.,"Нужно приложить к щиколотке пакет со льдом, чтобы уменьшить отёк."
251,I could show you around the city.,Я мог бы показать вам город.
252,I know that Tom is sick.,"Я знаю, что Том болен."
253,You don't need to apologize. You've done nothing wrong.,Не нужно извиняться. Ты не сделал ничего плохого.
254,Have another cookie.,Возьмите ещё одно печенье.
255,I'm sleepy!,Спать хочу!
256,You must be a fool.,"Ты, должно быть, идиот."
257,Tom is in the park.,Том в парке.
258,I didn't think you'd be here today.,"Я не думал, что вы сегодня здесь будете."
259,"What is your nationality? ""Argentine.""","Кто вы по национальности? - ""Аргентинцы""."
260,Why are you sad?,Почему ты грустный?
261,I can do that way better than you can.,"Я могу сделать это гораздо лучше, чем вы."
262,Be sure to remember!,Смотри не забудь!
263,I do think so.,Я правда так думаю.
264,The umbrella is broken.,Зонтик сломался.
265,Tom put his room in order.,Том привел свою комнату в порядок.
266,Have you filed a grievance?,Ты подавал жалобу?
267,I don't like Tom very much.,Я не очень люблю Тома.
268,Tom is going to have to change his plans.,Тому придётся поменять планы.
269,Something bit him.,Его кто-то укусил.
270,Is there anything else you want to know?,Вы хотите ещё что-нибудь узнать?
271,Tom said he wanted to see us before we left.,"Том сказал, что хочет повидаться с нами перед отъездом."
272,But I don't have money.,Но у меня нет денег.
273,What do you think of Mary's new dress?,Как тебе новое платье Мэри?
274,There was fear on his face.,На его лице был страх.
275,"If you don't tell her, I will.","Если ты ей не скажешь, я скажу."
276,Can you keep a secret?,Вам можно доверить секрет?
277,My mother was killed in an accident.,Моя мать погибла в аварии.
278,London is the capital of England.,Лондон - это столица Англии.
279,Her mother was a singer.,Её мать была певицей.
280,Should we call her?,Нам ей позвонить?
281,I asked Tom to explain.,Я попросил Тома объяснить.
282,You're to blame.,Ты сам виноват.
283,Tom told everyone he was adopted.,"Том всем сказал, что его усыновили."
284,Tom promised he wouldn't say anything.,"Том пообещал, что ничего не скажет."
285,Something has changed.,Что-то изменилось.
286,This isn't the only key.,Это не единственный ключ.
287,Ask Alex.,Спросите у Алекса.
288,It's only money.,Это всего лишь деньги.
289,Take her somewhere.,Сводите её куда-нибудь.
290,I was right on the spot when it happened.,"Я был как раз там, когда это произошло."
291,Its origin is unknown.,Её происхождение неизвестно.
292,Smell this.,Понюхайте это.
293,Tom wakes from a deep sleep.,Том пробуждается от глубокого сна.
294,You are big.,Вы большие.
295,Where did you see it?,Где вы его видели?
296,I don't know why you want me to do that.,"Я не знаю, почему вы хотите, чтобы я это сделал."
297,I expect that I will see him on Monday.,"Я надеюсь, что увижу его в понедельник."
298,Are you absolutely sure you want to sell your father's guitar?,Ты точно хочешь продать гитару своего отца?
299,There are no girls on the Internet.,В Интернете девушек нет.
300,They're going to find you.,Они тебя найдут.
301,I'm trying to figure out why it happened.,"Я пытаюсь разобраться, почему это произошло."
302,We'll send them a card.,Мы пошлём им открытку.
303,"If you don't want to answer, you don't have to.","Если не хочешь отвечать, то не нужно."
304,Look to the left and right before crossing the street.,"Посмотрите налево и направо, перед пересечением дороги."
305,"Tom was my friend, too.",Том был и моим другом.
306,I didn't know her at that time.,Я её тогда не знал.
307,We've heard those promises before.,Мы слышали эти обещания и раньше.
308,What did you and Tom do after dinner?,Что вы с Томом делали после ужина?
309,I'm very angry.,Я очень недовольна.
310,"As is often the case, Mike was late for the meeting this afternoon.","Как это часто бывает, сегодня днём Майк опоздал на встречу."
311,Tom told me that Mary had a new boyfriend.,"Том сказал мне, что у Мэри новый парень."
312,We're not going to let that happen.,Мы этого не допустим.
313,These fools broke the law that forbade breaking the law.,"Эти глупцы нарушили закон, запрещающий нарушать закон."
314,It's not done yet.,Это ещё не сделано.
315,John spoke in such a loud voice that I could hear him upstairs.,"Джон говорил так громко, что я слышал его на втором этаже."
316,Tom got his eyes tested.,Том проверил своё зрение.
317,I didn't give it to Tom.,Я не давал его Тому.
318,Strange rumors are going around.,Ходят странные слухи.
319,I know that you are rich.,"Я знаю, что ты богат."
320,Bill put aside a hundred dollars for his trip.,Билл отложил сто долларов на путешествие.
321,He served in the navy.,Он служил во флоте.
322,Who taught you how to dance?,Кто научил вас танцевать?
323,Tom wrinkled his nose.,Том наморщил нос.
324,It wouldn't surprise me.,Меня бы это не удивило.
325,"Seriously, I’m not lying.",Серьёзно! Я не вру.
326,You knew them better than I did.,"Ты знала их лучше, чем я."
327,None of us want that to happen.,"Никто из нас не хочет, чтобы это случилось."
328,How much more wine should I buy?,Сколько ещё вина покупать?
329,I won't cut corners.,Я не буду халтурить.
330,He got in his car and left.,Он сел в машину и уехал.
331,Tell Tom everything that happened here.,"Расскажи Тому обо всём, что здесь произошло."
332,I am looking for my phone.,Я ищу свой телефон.
333,He shared his soup with me.,Он поделился со мной своим супом.
334,"All models are wrong, but some are useful.",Все модели — неправильные. Но некоторые — полезные.
335,I have no time to do my homework.,У меня нет времени сделать домашнее задание.
336,This is a big step forward.,Это большой шаг вперёд.
337,"Pray for me, Tom.","Молись за меня, Том."
338,We don't yet know the side effects of the drug.,Мы ещё не знаем побочных эффектов этого лекарства.
339,Tom has had a toothache for three days.,У Тома уже три дня болят зубы.
340,You seem to know everyone here.,"Вы, похоже, всех здесь знаете."
341,Hope springs eternal.,Надежда умирает последней.
342,This is the girl that came yesterday.,"Это девушка, которая приходила вчера."
343,I'll give you a new one.,Я дам тебе новую.
344,I thought you said that it was yours.,"Ты вроде говорил, что оно твоё."
345,Where did he buy these shoes?,Где он купил эти ботинки?
346,Don't make me do that.,Не заставляйте меня это делать.
347,What made you smile?,Чему ты улыбался?
348,Tom usually takes a bus to work.,Том обычно ездит на работу на автобусе.
349,Fadil went to school.,Фадель пошёл в школу.
350,I've worked with Tom before.,Я раньше уже работал с Томом.
351,Tom and I are teammates.,Мы с Томом партнёры по команде.
352,Leave it alone!,Оставьте его в покое!
353,My heart beats fast each time I see her.,"Моё сердце бьётся чаще каждый раз, как я её вижу."
354,Am I the only one who thinks that?,Я один так думаю?
355,Everyone but Tom is wearing a hat.,"У всех, кроме Тома, шляпы."
356,She gives him everything he asks for.,"Она дает ему всё, что он ни попросит."
357,Is that for sale?,Это продаётся?
358,I'm getting angrier.,Я становлюсь злее.
359,Do you have a bigger one?,У вас есть такой побольше?
360,This is legal.,Это законно.
361,Do you like your name?,Вам нравится Ваше имя?
362,We can't afford to buy a new car.,Мы не можем позволить себе покупку новой машины.
363,That only makes the problem worse.,Это только усугубляет проблему.
364,Tom told me he saw Mary tonight.,"Том сказал мне, что видел сегодня вечером Мэри."
365,Tom heard the toilet being flushed.,Том услышал звук смыва бачка в туалете.
366,I rang the doorbell.,Я позвонил в дверь.
367,Tell him I'm sick.,"Скажи ему, что я болен."
368,They're already gone.,Они уже ушли.
369,Can I use your car for a little while?,Можно взять ненадолго вашу машину?
370,You can't stay in here all day.,Ты не можешь весь день здесь оставаться.
371,I saw Jessie standing there.,"Я видел, что Джесси стояла там."
372,They're very close.,Они очень близки.
373,You're wet.,Ты мокрый.
374,There is a little sugar in the bag.,В пакете есть немного сахара.
375,I used to do that as a kid.,Я в детстве так делал.
376,A very good thing happened today.,Сегодня произошло кое-что очень хорошее.
377,What are you guys talking about?,О чём это вы говорите?
378,Don't meddle in other people's affairs.,Не суйся в чужие дела.
379,Who's wearing the blue T-shirt?,Кто в синей футболке?
380,Tom has an American accent.,У Тома американский акцент.
381,I have no money to buy the dictionary with.,"У меня нет денег, чтобы купить словарь."
382,Why are you so surprised?,Почему ты так удивлён?
383,Carrots are good for the eyesight.,Морковь полезна для зрения.
384,I want you to tell me everything.,"Я хочу, чтобы вы всё мне рассказали."
385,She looks good for her age.,Она хорошо выглядит для своего возраста.
386,"If I had known her address, I would have written her a letter.","Если бы я знал её адрес, я бы написал ей письмо."
387,She was saving herself for marriage.,Она берегла себя для брака.
388,We need to speak to them.,Нам нужно с ними поговорить.
389,I'd like to talk to you.,Я хотел бы с вами поговорить.
390,Tom shaved.,Том побрился.
391,It's half past two now.,Сейчас полтретьего.
392,A lion is strong.,Лев силён.
393,I needed to be sure he'd come here.,"Мне нужно было убедиться, что он сюда придёт."
394,She said she didn't know the rules.,"Она сказала, что не знает правил."
395,Education is one of the most essential aspects of life.,Образование - это один из важнейших аспектов жизни.
396,The boy adjusted his cap.,Мальчик поправил кепку.
397,Why don't we go for a walk?,"Может, прогуляемся?"
398,He is good at mathematics.,Он способен к математике.
399,I'm glad you told me about her.,"Я рад, что ты мне о ней рассказал."
400,He is afraid of cats.,Он боится кошек.
401,I hear you're good at playing the banjo.,"Я слышала, ты хорошо играешь на банджо."
402,Did you read them?,Ты их читал?
403,I told Tom that I wouldn't help him.,"Я сказал Тому, что не буду ему помогать."
404,Tom regrets leaving Boston.,"Том жалеет о том, что уехал из Бостона."
405,I don't like this store.,Мне не нравится этот магазин.
406,Tom is terrible at speaking French.,Том ужасно говорит по-французски.
407,I can't remember how much I paid for it.,"Я уже не помню, сколько я за это заплатил."
408,Aren't you going to eat with us?,Ты с нами не поешь?
409,Tom lives in Australia with his wife and his three children.,Том живёт в Австралии с женой и тремя детьми.
410,I barely managed to catch the train.,Я едва успел сесть на поезд.
411,I don't like to make bets.,Я не люблю спорить.
412,Do you like science fiction movies?,Ты любишь научно-фантастические фильмы?
413,I will make her happy.,Я сделаю её счастливой.
414,Just tell him I called.,"Просто скажи ему, что я звонил."
415,I don't want to go upstairs.,Я не хочу подниматься наверх.
416,His house is beyond the hill.,Его дом за холмом.
417,It was Sunday and I wasn't about to get up early.,"Было воскресенье, и я не стал вставать рано."
418,What a lot of pens!,Сколько ручек!
419,"Mary, are you decent?","Мэри, ты сейчас в подобающем виде?"
420,I've corrected the mistake.,Я исправил ошибку.
421,Do you want me to call them?,"Ты хочешь, чтобы я позвонил им?"
422,Tom did twenty pushups.,Том сделал 20 отжиманий.
423,I'm sure you'll be able to do the job.,"Я уверена, ты сможешь справиться с работой."
424,"You could've heard a pin drop in the restaurant after Mary slapped Tom in the face, threw a glass of wine over him and stomped out.","После того как Мэри дала Тому пощёчину, бросила через него бокал вина и твёрдым шагом вышла из ресторана, воцарилась мёртвая тишина."
425,You are two years younger than Tom.,Ты на два года моложе Тома.
426,We recognized them.,Мы узнали их.
427,Tom will paint the fence tomorrow.,Том покрасит забор завтра.
428,Tom wanted to talk to Mary in private.,Том хотел поговорить с Мэри наедине.
429,"You don't mind, do you?","Ты ж ведь не возражаешь, да?"
430,I think you'll need a loan.,"Думаю, вам понадобится кредит."
431,"Tom's father, who is in prison, never writes to Tom.","Отец Тома, находящийся в тюрьме, никогда не пишет Тому."
432,This is expensive.,Это дорого.
433,I haven't heard from him for ages.,Я от него сто лет никаких известий не получал.
434,I didn't know Tom couldn't swim.,"Я не знал, что Том не умеет плавать."
435,I thought it was about time we all met.,"Я подумал, что нам всем давно пора встретиться."
436,All are interested in Japan.,Все интересуются Японией.
437,Tom gets angry very easily.,Том очень легко выходит из себя.
438,Please just do everything I do.,"Пожалуйста, просто делайте всё, как я."
439,Stay there.,Стойте там.
440,I don't agree with him.,Я с ним не согласен.
441,That's what you call good luck.,Вот это называется удача.
442,It was so dark I had to feel my way around the room.,"В комнате было так темно, что мне пришлось пробираться ощупью."
443,How many aircraft carriers does the US Navy have?,Сколько авианосцев у армии США?
444,Is she your teacher?,Она ваша учительница?
445,"Sing it again, Tom.","Спой ещё раз, Том."
446,What are you hiding from me?,Что вы от меня скрываете?
447,Tom understands he's no longer needed.,"Том понимает, что он больше не нужен."
448,Tom was in the garden.,Том был в саду.
449,The young plants are potted during the winter.,Молодые растения помещаются в горшки зимой.
450,I speak French.,Я владею французским языком.
451,"If it sounds too good to be true, it probably isn't.","Если это звучит слишком хорошо, чтобы быть правдой, вероятно, это неправда."
452,Leave it where you found it.,"Оставь это там, где нашёл."
453,Tom must've told Mary.,Том должен был сказать Мэри.
454,Why's everyone looking at me?,Почему все на меня смотрят?
455,Tom kissed Mary yesterday.,Том вчера поцеловал Мэри.
456,I'm not afraid of him.,Я его не боюсь.
457,I'm very proud of my father.,Я очень горжусь своим отцом.
458,I told you that would work.,"Я говорил вам, что это сработает."
459,It all seems so strange.,Всё это кажется таким странным.
460,Tom decided to go.,Том решил пойти.
461,You taught me a lot.,Вы меня многому научили.
462,What time do you wake up?,Во сколько ты просыпаешься?
463,Take the garbage out.,Вынеси мусор.
464,Tom apologized to the audience.,Том извинился перед слушателями.
465,Tell Mary I've got her keys.,"Скажите Мэри, что у меня её ключи."
466,"You bought candles, didn't you?",Вы свечи-то купили?
467,Canada is the motherland of ice hockey.,Канада - родина хоккея на льду.
468,The brain is a very complex organ.,Мозг очень сложный орган.
469,They would agree.,Они бы согласились.
470,Your Japanese is good.,Твой японский хорош.
471,The thief snuck in through the window.,Вор проник через окно.
